id;first_name;last_name;email;phone_number;age;salary;id_card_number
1;Magnus;Cassin;Emmett60@gmail.com;Zimbabwe Dollar Pass Cambridgeshire;32252;41168;34953
2;Bartholome;Kunze;Mayra.Little@hotmail.com;backing up Pre-emptive;21265;53740;41693
3;Abe;Mills;Ned19@yahoo.com;Handmade;76053;61092;30416
4;Martin;Legros;Emma_Armstrong@hotmail.com;systems Borders panel;9028;61914;59167
5;Kurt;Hermann;Dennis59@hotmail.com;Operations integrated;26072;26341;35013
6;Jonatan;Brown;Carlotta_Hayes@hotmail.com;withdrawal Small Plastic Chair;34600;81132;20616
7;Yvonne;Hudson;Savanah34@hotmail.com;regional Frozen Checking Account;5080;52113;18566
8;Harold;Kuphal;Rosemarie.Schamberger53@gmail.com;customized;50142;96234;28479
9;Neoma;Durgan;Abby46@gmail.com;Salad Progressive;82449;42868;22518
10;Ryleigh;Bayer;Reva.Jones@yahoo.com;Cambridgeshire;5423;69850;27797
